farm.ahy;nest.ahy;year.ahy;idbrood.ahy;idadult;exact_age;sex;ext5km.ahy;ext20km.ahy;density.ahy;comp.ahy;farm.hy;nest.hy;year.hy;idbrood.hy;ext5km.hy;ext20km.hy;density.hy;comp.hy;distance;d_fledgling;age_morpho;med_25km;mass
27;10;2019;271020191;218161875;1;F;12.89064986;22.12297581;5;5;38;09;2018;380920181;28.18487047;26.72452375;9;0;28632.69795;177;ASY;11747.54628;14.83
04;10;2014;041020141;251170611;2;M;30.24791547;23.32669628;9;0;16;07;2012;160720121;27.8586659;25.77212954;7;2;22171.95855;176;ASY;14797.66724;17.11
05;03;2011;050320111;222174852;3;M;26.19979632;30.6706542;7;0;13;01;2008;130120081;26.66762141;23.23688717;7;0;44924.21262;183;SY;12304.43984;17.53
17;05;2012;170520121;235143074;2;F;20.97018013;22.42955008;4;0;17;08;2010;170820101;20.97018013;22.42955008;5;3;0;174;ASY;17221.76638;17.57
03;05;2013;030520131;235144239;2;F;31.15810579;23.31237456;7;0;15;04;2011;150420111;22.75157533;26.58632913;9;0;24917.99842;178;ASY;15144.81953;17.64
16;07;2015;160720152;259197902;1;M;27.8586659;25.77212954;9;0;16;04;2014;160420141;27.8586659;25.77212954;7;0;0;178;ASY;14797.66724;17.76
30;09;2019;300920191;218161460;2;F;31.75959519;25.14172533;6;6;39;08;2017;390820171;36.74018204;25.87044216;3;6;5629.298094;178;ASY;14717.46666;17.98
26;10;2014;261020141;259160792;2;F;16.94831647;16.35798724;10;0;30;09;2012;300920122;31.75959519;25.14172533;6;5;31739.08415;199;ASY;15005.38112;18.28
14;09;2019;140920192;263183073;1;F;23.97921838;26.97873424;9;0;15;06;2018;150620181;22.75157533;26.58632913;10;0;3992.336771;173;ASY;15144.81953;18.3
16;08;2015;160820151;251170953;2;M;27.8586659;25.77212954;9;0;15;06;2013;150620131;22.75157533;26.58632913;10;0;6971.443593;170;ASY;15144.81953;18.42
30;07;2009;300720092;192111599;2;F;31.75959519;25.14172533;6;5;01;07;2007;010720072;29.64483483;23.55032393;9;1;30476.72359;184;ASY;17234.7322;18.48
31;08;2013;310820131;251170195;1;M;16.03414805;15.65134972;6;1;31;08;2012;310820121;16.03414805;15.65134972;5;2;0;171;ASY;15246.05796;18.68
36;01;2014;360120141;259160628;1;F;13.28686907;20.07487076;7;0;35;02;2013;350220131;16.35398765;22.23014005;7;0;10563.01771;175;ASY;18739.30861;18.94
40;09;2016;400920161;259196390;2;F;21.99414423;21.00071012;7;0;04;07;2014;040720141;30.24791547;23.32669628;9;0;7122.460963;175;ASY;11349.90591;18.99
37;02;2018;370220181;259197527;4;F;22.2630641;24.6210215;8;0;31;10;2014;311020141;16.03414805;15.65134972;8;1;39353.86831;177;ASY;15246.05796;19.41
18;06;2012;180620121;235142808;3;F;12.40452549;20.34041927;4;0;18;02;2009;180220091;12.40452549;20.34041927;6;0;0;174;ASY;14411.11138;19.41
14;03;2009;140320091;231195006;1;F;23.97921838;26.97873424;9;0;15;02;2008;150220081;22.75157533;26.58632913;10;0;3992.336771;175;ASY;15144.81953;19.42
20;07;2016;200720161;259196292;2;F;35.62074343;25.09890936;7;0;14;01;2014;140120141;23.97921838;26.97873424;10;0;24260.37236;174;ASY;15424.78796;19.57
26;02;2017;260220171;259197336;3;F;16.94831647;16.35798724;8;0;26;02;2014;260220141;16.94831647;16.35798724;10;0;0;176;ASY;14566.69253;19.61
26;08;2016;260820161;259196751;2;M;16.94831647;16.35798724;9;1;15;01;2014;150120141;22.75157533;26.58632913;10;0;43246.59887;174;ASY;15144.81953;19.63
02;09;2009;020920091;192111257;2;F;28.38934504;24.83714019;3;5;01;09;2007;010920071;29.64483483;23.55032393;9;1;14478.27221;174;ASY;17234.7322;19.72
41;03;2014;410320141;259160699;1;M;;;;0;17;04;2013;170420131;20.97018013;22.42955008;5;0;34858.92585;193;SY;17221.76638;19.75
03;02;2019;030220191;262181300;2;F;31.15810579;23.31237456;5;0;04;08;2017;040820171;30.24791547;23.32669628;9;0;1948.30842;177;ASY;11349.90591;19.92
15;01;2015;150120151;251170823;3;F;22.75157533;26.58632913;10;0;38;04;2012;380420122;28.18487047;26.72452375;9;0;4278.064402;176;ASY;11747.54628;19.95
31;07;2015;310720152;259197934;1;F;16.03414805;15.65134972;8;2;24;05;2014;240520141;16.25612628;17.43768561;7;0;49600.0409;184;ASY;16295.68385;19.96
22;05;2013;220520131;259160552;1;F;28.91127236;24.59745034;10;0;11;08;2012;110820121;29.97660875;31.27763644;3;0;11285.35142;177;ASY;12465.05281;19.97
17;05;2018;170520181;252188823;2;M;20.97018013;22.42955008;3;0;01;10;2016;011020161;29.64483483;23.55032393;8;0;9636.015809;179;ASY;17234.7322;20.05
15;06;2010;150620101;222175079;2;M;22.75157533;26.58632913;9;0;16;08;2008;160820081;27.8586659;25.77212954;9;2;6971.443593;177;ASY;14797.66724;20.1
38;02;2008;380220082;192111523;1;F;28.18487047;26.72452375;8;0;18;01;2007;180120071;12.40452549;20.34041927;8;0;41181.30702;180;ASY;14411.11138;20.11
22;06;2018;220620181;262181746;1;F;28.91127236;24.59745034;8;3;21;05;2017;210520171;31.42782127;21.74708046;5;0;13254.45568;181;SY;12779.44776;20.14
24;06;2018;240620181;259196340;4;F;16.25612628;17.43768561;8;0;26;10;2014;261020141;16.94831647;16.35798724;10;0;17262.86424;172;ASY;14566.69253;20.22
37;08;2009;370820092;192111891;2;F;22.2630641;24.6210215;8;1;38;06;2007;380620071;28.18487047;26.72452375;9;0;5474.569048;183;ASY;11747.54628;20.22
02;10;2018;021020181;262181823;1;F;28.38934504;24.83714019;1;7;35;06;2017;350620171;16.35398765;22.23014005;7;0;21465.99886;175;ASY;18739.30861;20.24
15;03;2011;150320111;235144516;1;M;22.75157533;26.58632913;9;0;15;04;2010;150420101;22.75157533;26.58632913;9;0;0;173;ASY;15144.81953;20.25
09;05;2016;090520161;252188241;1;F;22.46276494;19.33521372;7;0;09;08;2015;090820151;22.46276494;19.33521372;7;0;0;174;ASY;8537.836182;20.25
16;04;2018;160420181;252188847;2;F;27.8586659;25.77212954;6;0;04;07;2016;040720161;30.24791547;23.32669628;10;0;22171.95855;181;ASY;11349.90591;20.27
23;07;2011;230720111;235143477;1;F;32.18923048;22.92578764;9;0;11;05;2010;110520101;29.97660875;31.27763644;5;0;15969.97452;174;ASY;12465.05281;20.32
40;04;2018;400420181;262181025;2;F;21.99414423;21.00071012;5;2;01;09;2016;010920161;29.64483483;23.55032393;8;0;25280.73013;173;ASY;17234.7322;20.33
23;11;2014;231120141;251170864;2;F;32.18923048;22.92578764;10;0;23;09;2012;230920121;32.18923048;22.92578764;9;0;0;179;ASY;13201.83258;20.37
17;04;2008;170420081;192111874;1;F;20.97018013;22.42955008;6;1;36;08;2007;360820071;13.28686907;20.07487076;3;4;17221.76638;184;ASY;17262.0588;20.39
15;09;2014;150920142;259196645;1;F;22.75157533;26.58632913;10;0;38;01;2013;380120132;28.18487047;26.72452375;9;0;4278.064402;194;SY;11747.54628;20.42
24;07;2018;240720181;262181349;2;M;16.25612628;17.43768561;8;0;15;02;2016;150220161;22.75157533;26.58632913;10;0;51117.37355;180;ASY;15144.81953;20.43
14;07;2019;140720191;218161603;2;F;23.97921838;26.97873424;9;0;14;05;2017;140520171;23.97921838;26.97873424;5;0;0;178;ASY;15424.78796;20.48
15;03;2017;150320171;259196726;3;F;22.75157533;26.58632913;10;0;01;01;2014;010120141;29.64483483;23.55032393;10;0;31343.69596;173;ASY;17234.7322;20.51
37;06;2011;370620111;235144104;1;F;22.2630641;24.6210215;7;0;35;09;2010;350920101;16.35398765;22.23014005;2;4;15592.84237;178;ASY;18739.30861;20.52
18;01;2015;180120151;251170582;3;F;12.40452549;20.34041927;8;0;24;02;2012;240220121;16.25612628;17.43768561;10;0;6929.252094;172;ASY;16295.68385;20.52
29;10;2012;291020121;235144035;1;F;37.67344536;23.04105758;2;6;30;03;2011;300320111;31.75959519;25.14172533;8;3;9325.972733;174;ASY;15005.38112;20.55
15;04;2009;150420091;231195003;1;F;22.75157533;26.58632913;10;0;14;05;2008;140520081;23.97921838;26.97873424;9;0;3992.336771;177;ASY;15424.78796;20.57
04;05;2018;040520181;262181298;1;F;30.24791547;23.32669628;10;0;04;08;2017;040820171;30.24791547;23.32669628;9;0;0;177;ASY;11349.90591;20.59
20;04;2015;200420151;259197174;1;F;35.62074343;25.09890936;9;0;09;02;2014;090220141;22.46276494;19.33521372;5;0;51322.59492;175;ASY;8537.836182;20.66
28;08;2019;280820191;263183262;1;F;16.5879002;18.32399106;10;0;28;10;2018;281020181;16.5879002;18.32399106;9;0;0;179;ASY;17666.01669;20.77
33;08;2018;330820181;259197517;4;M;17.51718541;16.40965483;2;2;31;05;2014;310520141;16.03414805;15.65134972;8;1;2698.433256;177;ASY;15246.05796;20.8
03;04;2008;030420081;192111552;1;F;31.15810579;23.31237456;8;0;22;03;2007;220320071;28.91127236;24.59745034;9;1;53254.15681;183;ASY;11396.95299;20.8
26;03;2011;260320111;222175033;3;F;16.94831647;16.35798724;7;0;20;06;2008;200620081;35.62074343;25.09890936;7;3;21453.35717;176;ASY;16535.47537;20.81
22;02;2014;220220142;235144641;4;F;28.91127236;24.59745034;9;0;22;09;2010;220920101;28.91127236;24.59745034;9;0;0;176;ASY;11396.95299;20.83
04;08;2018;040820181;262181331;2;F;30.24791547;23.32669628;10;0;03;03;2016;030320161;31.15810579;23.31237456;8;0;1948.30842;177;ASY;17308.10554;20.88
01;10;2010;011020101;222174251;2;F;29.64483483;23.55032393;10;0;01;05;2008;010520081;29.64483483;23.55032393;10;0;0;178;ASY;17234.7322;20.88
40;08;2016;400820161;259197879;2;F;21.99414423;21.00071012;7;0;11;04;2014;110420141;29.97660875;31.27763644;2;0;50098.49081;183;ASY;12465.05281;20.88
01;05;2014;010520141;259160739;1;M;29.64483483;23.55032393;10;0;01;08;2013;010820131;29.64483483;23.55032393;10;0;0;170;ASY;17234.7322;20.92
31;09;2019;310920191;263183098;1;F;16.03414805;15.65134972;8;0;28;06;2018;280620181;16.5879002;18.32399106;9;0;23565.29989;181;SY;17666.01669;20.97
14;06;2018;140620181;262181877;1;F;23.97921838;26.97873424;7;0;14;01;2017;140120171;23.97921838;26.97873424;5;0;0;182;ASY;15424.78796;21.01
38;08;2008;380820081;192111455;1;M;28.18487047;26.72452375;8;0;37;03;2007;370320071;22.2630641;24.6210215;9;0;5474.569048;177;ASY;11481.42748;21.06
20;10;2010;201020101;222175035;2;F;35.62074343;25.09890936;7;3;20;06;2008;200620081;35.62074343;25.09890936;7;3;0;176;ASY;16535.47537;21.06
27;01;2011;270120111;222175030;3;F;12.89064986;22.12297581;5;1;18;06;2008;180620081;12.40452549;20.34041927;8;0;14411.11138;174;ASY;14411.11138;21.07
12;05;2018;120520181;252188274;3;M;24.08105786;25.54576684;7;0;23;06;2015;230620151;32.18923048;22.92578764;10;0;13201.83258;179;ASY;13201.83258;21.08
10;10;2010;101020101;231195866;1;M;24.67777353;18.78889987;2;7;30;03;2009;300320091;31.75959519;25.14172533;6;5;37548.80311;172;ASY;15005.38112;21.12
01;04;2016;010420161;259197381;2;F;29.64483483;23.55032393;8;0;19;03;2014;190320141;24.98567882;22.25977805;4;2;20024.63019;180;SY;16407.35196;21.13
29;05;2009;290520092;222174726;1;F;37.67344536;23.04105758;3;2;26;05;2008;260520081;16.94831647;16.35798724;10;0;22688.31225;170;ASY;14566.69253;21.2
35;08;2014;350820141;235144380;3;F;16.35398765;22.23014005;10;0;35;03;2011;350320112;16.35398765;22.23014005;5;1;0;197;SY;18739.30861;21.22
03;09;2010;030920101;231195590;1;F;31.15810579;23.31237456;6;0;09;04;2009;090420091;22.46276494;19.33521372;8;0;9141.240264;175;ASY;8537.836182;21.26
38;08;2009;380820091;192111340;2;F;28.18487047;26.72452375;9;0;15;02;2007;150220071;22.75157533;26.58632913;10;0;4278.064402;177;ASY;15144.81953;21.33
01;03;2014;010320141;259160776;2;M;29.64483483;23.55032393;10;0;39;05;2012;390520122;36.74018204;25.87044216;4;6;36085.07159;193;ASY;14717.46666;21.33
17;05;2018;170520181;262181270;2;F;20.97018013;22.42955008;3;0;17;10;2016;171020162;20.97018013;22.42955008;6;0;0;197;SY;17221.76638;21.35
24;10;2008;241020081;222174310;1;M;16.25612628;17.43768561;9;0;24;06;2007;240620071;16.25612628;17.43768561;8;0;0;188;ASY;16295.68385;21.35
24;06;2009;240620091;231195114;1;M;16.25612628;17.43768561;9;0;24;10;2008;241020081;16.25612628;17.43768561;9;0;0;176;ASY;16295.68385;21.37
12;06;2013;120620132;251170285;1;F;24.08105786;25.54576684;6;0;22;03;2012;220320121;28.91127236;24.59745034;10;0;11508.55455;173;ASY;11396.95299;21.49
15;03;2016;150320161;252188211;1;M;22.75157533;26.58632913;10;0;15;03;2015;150320151;22.75157533;26.58632913;10;0;0;171;ASY;15144.81953;21.5
38;06;2013;380620131;235144165;2;M;28.18487047;26.72452375;9;0;30;10;2011;301020111;31.75959519;25.14172533;8;3;8185.903331;180;ASY;15005.38112;21.52
38;09;2015;380920151;259197501;1;M;28.18487047;26.72452375;10;0;17;06;2014;170620141;20.97018013;22.42955008;5;0;36447.40429;179;ASY;17221.76638;21.62
33;10;2016;331020161;259197516;2;M;17.51718541;16.40965483;5;3;31;05;2014;310520141;16.03414805;15.65134972;8;1;2698.433256;177;ASY;15246.05796;21.72
41;15;2016;411520162;252188158;1;M;;;;0;26;05;2015;260520151;16.94831647;16.35798724;10;0;66813.5418;173;ASY;14566.69253;21.75
31;10;2010;311020101;235142718;1;F;16.03414805;15.65134972;9;1;36;09;2009;360920091;13.28686907;20.07487076;7;0;26409.64646;175;ASY;17262.0588;21.82
39;03;2009;390320091;222174948;1;F;36.74018204;25.87044216;5;3;37;07;2008;370720081;22.2630641;24.6210215;6;0;9875.752762;173;ASY;11481.42748;21.83
20;05;2012;200520121;235144088;1;F;35.62074343;25.09890936;4;0;29;08;2011;290820111;37.67344536;23.04105758;2;8;7523.278199;186;SY;16428.40356;21.83
16;02;2017;160220171;252188570;2;F;27.8586659;25.77212954;9;0;15;01;2015;150120151;22.75157533;26.58632913;10;0;6971.443593;181;ASY;15144.81953;21.83
22;06;2009;220620091;231195321;1;F;28.91127236;24.59745034;10;0;12;09;2008;120920081;24.08105786;25.54576684;7;0;11508.55455;181;ASY;13201.83258;21.84
16;06;2019;160620191;252188961;2;F;27.8586659;25.77212954;9;0;30;10;2017;301020171;31.75959519;25.14172533;3;5;11743.29225;176;ASY;15005.38112;21.84
16;01;2017;160120171;259196597;3;F;27.8586659;25.77212954;9;0;15;05;2014;150520141;22.75157533;26.58632913;10;0;6971.443593;174;ASY;15144.81953;21.89
21;02;2018;210220181;259196845;4;F;31.42782127;21.74708046;4;0;23;11;2014;231120141;32.18923048;22.92578764;10;0;8520.754045;175;ASY;13201.83258;21.9
28;07;2012;280720122;231195383;3;F;16.5879002;18.32399106;4;5;26;10;2009;261020091;16.94831647;16.35798724;10;0;21986.38407;172;ASY;14566.69253;21.9
24;10;2018;241020181;259197402;4;F;16.25612628;17.43768561;8;0;18;06;2014;180620141;12.40452549;20.34041927;7;0;6929.252094;176;ASY;14411.11138;21.92
28;03;2012;280320121;235143905;2;M;16.5879002;18.32399106;4;5;30;05;2010;300520101;31.75959519;25.14172533;5;5;15016.25455;175;ASY;15005.38112;21.96
38;04;2016;380420161;259196594;2;M;28.18487047;26.72452375;10;0;15;05;2014;150520141;22.75157533;26.58632913;10;0;4278.064402;174;ASY;15144.81953;21.96
15;02;2015;150220151;259196315;2;M;22.75157533;26.58632913;10;0;37;09;2013;370920131;22.2630641;24.6210215;8;0;9446.684914;190;ASY;11481.42748;21.98
15;08;2010;150820101;222174049;3;F;22.75157533;26.58632913;9;0;03;10;2007;031020071;31.15810579;23.31237456;6;0;24917.99842;181;ASY;17308.10554;22
