id_chipmunk;sex;site;date;hour_capture;hour_trial;julian_day;julian_min;delay_trial;number_trial;number_cross;experimenter
F025;M;1;23/06/2012;15:20:00;15:20:00;53;440;0;1;41;ESTH
H002;F;1;29/06/2012;18:10:00;18:45:00;59;645;35;1;90;ESTH
H004;F;1;06/07/2012;11:55:00;11:55:00;66;235;0;1;41;ESTH
H005;M;1;24/06/2012;16:00:00;16:00:00;54;480;0;1;60;ESTH
H006;M;1;24/06/2012;12:30:00;12:30:00;54;270;0;1;6;ESTH
H009;M;1;22/06/2012;09:15:00;09:15:00;52;75;0;1;47;ESTH
H009;M;1;20/08/2012;14:35:00;15:25:00;111;445;50;1;47;ESTH
H010;F;1;06/07/2012;14:30:00;14:30:00;66;390;0;1;64;ESTH
H011;M;1;24/06/2012;13:45:00;13:45:00;54;345;0;1;13;ESTH
H016;F;1;24/06/2012;11:55:00;11:55:00;54;235;0;1;56;ESTH
H020;F;1;23/06/2012;09:45:00;09:45:00;53;105;0;1;45;ESTH
H021;M;1;23/06/2012;16:30:00;17:45:00;53;585;75;1;49;ESTH
H023;F;1;30/06/2012;15:25:00;15:25:00;60;445;0;1;65;ESTH
H024;F;1;24/06/2012;08:45:00;08:45:00;54;45;0;1;68;ESTH
H025;F;1;24/06/2012;14:45:00;14:45:00;54;405;0;1;66;ESTH
H025;F;1;20/08/2012;14:35:00;16:00:00;111;480;85;1;72;ESTH
H026;M;1;24/06/2012;10:10:00;10:10:00;54;130;0;1;64;ESTH
H026;M;1;20/08/2012;14:35:00;15:05:00;111;425;30;1;25;ESTH
H028;F;1;24/06/2012;12:00:00;12:00:00;54;240;0;1;56;ESTH
H030;F;1;23/06/2012;14:35:00;15:45:00;53;465;70;1;54;ESTH
H030;F;1;20/08/2012;16:15:00;16:50:00;111;530;35;1;20;ESTH
H033;F;1;23/06/2012;12:15:00;12:15:00;53;255;0;1;70;ESTH
H033;F;1;20/08/2012;15:30:00;16:45:00;111;525;75;1;52;ESTH
H034;M;1;23/06/2012;13:50:00;13:50:00;53;350;0;1;60;ESTH
H034;M;1;08/07/2012;18:00:00;18:00:00;68;600;0;1;94;ESTH
H035;F;1;23/06/2012;17:55:00;17:55:00;53;595;0;1;66;ESTH
H037;F;1;23/06/2012;10:30:00;10:30:00;53;150;0;1;37;ESTH
H038;F;1;29/06/2012;17:20:00;17:20:00;59;560;0;1;80;ESTH
H040;F;1;23/06/2012;10:30:00;10:30:00;53;150;0;1;32;ESTH
H040;F;1;23/06/2012;12:15:00;12:15:00;53;255;0;2;28;ESTH
H047;M;1;24/06/2012;11:55:00;13:40:00;54;340;105;1;50;ESTH
H049;F;1;29/06/2012;11:00:00;11:00:00;59;180;0;1;105;ESTH
H052;M;1;24/06/2012;11:55:00;13:25:00;54;325;90;1;73;ESTH
H054;F;1;23/06/2012;14:35:00;16:20:00;53;500;105;1;59;ESTH
H054;F;1;20/08/2012;16:30:00;17:30:00;111;570;60;1;30;ESTH
H055;F;1;30/06/2012;11:00:00;11:00:00;60;180;0;1;80;ESTH
H058;F;3;15/07/2012;09:15:00;09:15:00;75;75;0;1;65;ESTH
H059;M;3;19/07/2012;14:20:00;14:35:00;79;395;15;1;77;ESTH
H060;M;3;15/07/2012;11:00:00;11:00:00;75;180;0;1;91;ESTH
H061;M;3;15/07/2012;09:15:00;10:10:00;75;130;55;1;65;ESTH
H061;M;3;21/08/2012;14:50:00;15:15:00;112;435;25;1;67;ESTH
H063;F;3;15/07/2012;09:15:00;10:25:00;75;145;70;1;74;ESTH
H067;M;3;15/07/2012;09:15:00;09:55:00;75;115;40;1;54;ESTH
H074;F;1;06/07/2012;12:00:00;12:00:00;66;240;0;1;33;ESTH
H077;M;2;13/08/2012;14:30:00;16:05:00;104;485;95;1;59;ESTH
H078;M;2;13/08/2012;14:30:00;16:20:00;104;500;110;1;56;ESTH
H079;F;2;13/08/2012;14:30:00;15:50:00;104;470;80;1;19;ESTH
H081;F;2;13/08/2012;14:30:00;15:30:00;104;450;60;1;90;ESTH
H082;M;2;14/08/2012;17:25:00;18:05:00;105;605;40;1;62;ESTH
H084;F;2;16/08/2012;17:45:00;18:20:00;107;620;35;1;87;ESTH
H085;M;2;14/08/2012;15:40:00;17:05:00;105;545;85;1;69;ESTH
H086;F;2;15/08/2012;15:20:00;16:00:00;106;480;40;1;60;ESTH
H087;M;2;15/08/2012;17:15:00;18:00:00;106;600;45;1;77;ESTH
H090;M;2;19/08/2012;15:50:00;16:45:00;110;525;55;1;41;ESTH
H092;M;2;14/08/2012;18:30:00;18:50:00;105;650;20;1;66;ESTH
H095;M;1;20/08/2012;17:50:00;18:10:00;111;610;20;1;83;ESTH
F023;F;1;13/06/2013;13:20:00;14:19:00;43;379;59;1;92;ESTH
F023;F;1;28/08/2013;16:30:00;17:50:00;119;590;80;2;56;NM
F025;M;1;13/06/2013;16:30:00;17:00:00;43;540;30;2;31;BC
H002;F;1;31/05/2013;15:35:00;17:50:00;30;590;135;2;60;MD
H003;M;1;23/06/2013;10:10:00;11:20:00;53;200;70;1;30;NM
H003;M;1;01/08/2013;10:50:00;13:15:00;92;315;145;2;39;NM
H004;F;1;30/05/2013;16:30:00;17:10:00;29;550;40;2;24;CC
H005;M;1;30/05/2013;10:10:00;11:32:00;29;212;82;2;41;ESTH
H005;M;1;06/08/2013;16:30:00;17:30:00;97;570;60;3;39;CC
H007;F;1;31/05/2013;15:30:00;16:55:00;30;535;85;1;80;MD
H007;F;1;06/08/2013;17:20:00;17:57:00;97;597;37;2;87;ESTH
H024;F;1;30/05/2013;16:30:00;18:15:00;29;615;105;2;7;CC
H042;M;1;31/05/2013;10:10:00;11:16:00;30;196;66;1;57;ESTH
H042;M;1;06/08/2013;15:35:00;16:30:00;97;510;55;2;82;MD
H045;M;1;31/05/2013;10:20:00;11:26:00;30;206;66;1;51;ESTH
H045;M;1;28/08/2013;15:30:00;17:30:00;119;570;120;2;70;MD
H056;F;3;20/06/2013;10:40:00;11:55:00;50;235;75;1;45;MD
H056;F;3;23/08/2013;14:35:00;15:19:00;114;439;44;2;52;ESTH
H058;F;3;20/06/2013;10:40:00;13:20:00;50;320;160;2;67;MD
H058;F;3;23/08/2013;14:35:00;15:33:00;114;453;58;3;43;ESTH
H062;F;3;21/06/2013;12:30:00;13:10:00;51;310;40;1;63;NM
H063;F;3;20/06/2013;10:40:00;11:30:00;50;210;50;2;74;MD
H063;F;3;23/08/2013;17:05:00;17:49:00;114;589;44;3;71;ESTH
H065;F;3;21/06/2013;14:30:00;15:00:00;51;420;30;1;61;NM
H068;F;3;20/06/2013;11:35:00;12:00:00;50;240;25;1;30;ESTH
H068;F;3;23/08/2013;10:40:00;12:20:00;114;260;100;2;62;MD
H072;F;3;20/06/2013;10:40:00;12:40:00;50;280;120;1;74;MD
H072;F;3;23/08/2013;14:35:00;15:01:00;114;421;26;2;24;ESTH
H073;M;3;20/06/2013;10:40:00;13:00:00;50;300;140;1;52;MD
H073;M;3;23/08/2013;17:05:00;17:35:00;114;575;30;2;41;ESTH
H091;M;2;03/06/2013;10:00:00;10:48:00;33;168;48;1;67;ESTH
H091;M;2;16/08/2013;14:50:00;16:10:00;107;490;80;2;70;CC
I002;F;2;03/06/2013;14:30:00;15:39:00;33;459;69;1;50;ESTH
I002;F;2;07/08/2013;16:25:00;17:35:00;98;575;70;2;75;NM
I003;F;2;10/06/2013;14:40:00;16:25:00;40;505;105;1;50;MD
I003;F;2;29/06/2013;15:00:00;18:05:00;59;605;185;2;69;NM
I004;F;2;03/06/2013;14:30:00;15:08:00;33;428;38;1;35;ESTH
I004;F;2;07/08/2013;16:25:00;17:00:00;98;540;35;2;84;MD
I005;M;2;14/06/2013;10:00:00;11:40:00;44;220;100;1;68;MD
I005;M;2;07/08/2013;13:00:00;13:33:00;98;333;33;2;84;ESTH
I006;M;2;29/06/2013;10:50:00;13:30:00;59;330;160;1;40;NM
I006;M;2;07/08/2013;14:30:00;16:01:00;98;481;91;2;38;ESTH
I007;M;2;26/06/2013;09:00:00;09:55:00;56;115;55;1;86;CC
I007;M;2;18/08/2013;12:45:00;13:37:00;109;337;52;2;86;ESTH
I009;F;2;03/06/2013;13:15:00;14:02:00;33;362;47;1;22;ESTH
I009;F;2;16/08/2013;18:00:00;19:15:00;107;675;75;2;49;CC
I010;M;2;19/06/2013;12:40:00;13:50:00;49;350;70;1;24;NM
I011;M;1;01/08/2013;10:50:00;12:40:00;92;280;110;1;56;NM
I012;M;2;10/06/2013;12:40:00;16:00:00;40;480;200;2;47;MD
I013;M;2;10/06/2013;10:40:00;11:24:00;40;204;44;1;41;ESTH
I013;M;2;12/08/2013;12:40:00;15:15:00;103;435;155;2;68;NM
I014;F;2;10/06/2013;16:40:00;17:30:00;40;570;50;1;53;MD
I015;F;2;10/06/2013;11:30:00;12:33:00;40;273;63;1;83;ESTH
I015;F;2;16/08/2013;12:40:00;17:20:00;107;560;280;2;75;MD
I016;M;2;12/07/2013;13:00:00;14:20:00;72;380;80;1;53;BC
I018;M;1;23/06/2013;10:50:00;13:30:00;53;330;160;1;52;NM
I020;F;1;23/06/2013;10:10:00;13:02:00;53;302;172;1;56;ESTH
I020;F;1;06/08/2013;12:50:00;16:30:00;97;510;220;2;56;NM
I021;F;1;13/06/2013;10:50:00;12:30:00;43;270;100;1;35;NM
I021;F;1;23/06/2013;12:30:00;13:10:00;53;310;40;2;81;NM
I022;F;2;14/06/2013;10:00:00;11:00:00;44;180;60;1;54;MD
I022;F;2;16/08/2013;10:00:00;11:05:00;107;185;65;2;72;ESTH
I023;M;2;10/06/2013;12:40:00;15:40:00;40;460;180;1;79;MD
I024;M;2;14/06/2013;11:55:00;12:30:00;44;270;35;1;59;MD
I025;F;2;14/06/2013;10:00:00;12:02:00;44;242;122;1;46;MD
I027;F;2;24/06/2013;11:15:00;14:00:00;54;360;165;1;56;MD
I027;F;2;30/08/2013;13:40:00;14:17:00;121;377;37;2;59;ESTH
I027;F;2;14/09/2013;16:50:00;17:58:00;136;598;68;3;46;ESTH
I028;M;2;26/06/2013;09:00:00;10:40:00;56;160;100;1;30;NM
I028;M;2;24/08/2013;13:50:00;14:38:00;115;398;48;2;54;ESTH
I029;F;1;23/06/2013;10:50:00;12:10:00;53;250;80;1;69;NM
I029;F;1;17/08/2013;11:45:00;12:51:00;108;291;66;2;50;ESTH
I031;M;1;23/06/2013;15:15:00;16:23:00;53;503;68;1;88;YG
I032;F;2;26/06/2013;09:00:00;10:15:00;56;135;75;1;105;CC
I033;F;2;24/06/2013;14:30:00;14:40:00;54;400;10;1;75;MD
I033;F;2;16/08/2013;14:45:00;16:06:00;107;486;81;2;71;ESTH
I034;F;2;18/08/2013;11:15:00;12:01:00;109;241;46;1;46;ESTH
I036;F;1;27/06/2013;11:00:00;11:55:00;57;235;55;1;59;NM
I037;F;1;20/08/2013;16:50:00;17:20:00;111;560;30;2;21;MR
I039;M;1;01/07/2013;14:50:00;16:10:00;61;490;80;1;45;BC
I041;M;2;29/06/2013;10:50:00;13:20:00;59;320;150;1;79;NM
I042;M;2;26/06/2013;11:20:00;12:10:00;56;250;50;1;66;NM
I043;M;2;29/06/2013;10:50:00;13:00:00;59;300;130;1;44;NM
I047;M;2;30/06/2013;12:50:00;13:30:00;60;330;40;1;43;NM
I050;F;2;30/06/2013;12:50:00;13:45:00;60;345;55;1;73;NM
I050;F;2;07/09/2013;14:50:00;15:28:00;129;448;38;2;58;ESTH
I051;M;2;11/08/2013;13:05:00;14:01:00;102;361;56;1;68;ESTH
I053;M;1;18/07/2013;11:00:00;12:05:00;78;245;65;1;48;NM
I053;M;1;17/08/2013;11:45:00;13:09:00;108;309;84;2;20;ESTH
I054;M;1;17/08/2013;10:15:00;11:43:00;108;223;88;1;77;ESTH
I054;M;1;15/09/2013;14:40:00;15:16:00;137;436;36;2;52;ESTH
I055;M;1;17/08/2013;10:15:00;11:07:00;108;187;52;1;41;ESTH
I056;F;1;20/08/2013;12:55:00;13:46:00;111;346;51;1;46;ESTH
I057;M;2;24/08/2013;15:20:00;15:55:00;115;475;35;1;100;ESTH
I059;F;1;20/08/2013;11:10:00;12:35:00;111;275;85;1;38;ESTH
I060;M;2;29/08/2013;11:50:00;12:35:00;120;275;45;1;106;ESTH
I062;M;2;30/08/2013;10:40:00;11:29:00;121;209;49;1;78;ESTH
I063;M;2;30/08/2013;10:40:00;11:35:00;121;215;55;1;49;ESTH
I064;F;2;06/09/2013;10:20:00;11:30:00;128;210;70;1;90;ESTH
I065;F;2;06/09/2013;11:50:00;12:43:00;128;283;53;1;51;ESTH
I066;F;2;06/09/2013;11:50:00;12:59:00;128;299;69;1;15;ESTH
I067;F;2;06/09/2013;14:50:00;15:35:00;128;455;45;1;44;ESTH
I068;M;2;06/09/2013;14:50:00;15:56:00;128;476;66;1;63;ESTH
I069;F;2;07/09/2013;11:50:00;12:20:00;129;260;30;1;116;ESTH
I070;M;2;07/09/2013;11:50:00;12:36:00;129;276;46;1;90;ESTH
I071;M;2;07/09/2013;14:50:00;15:48:00;129;468;58;1;79;ESTH
I072;F;1;09/09/2013;16:00:00;16:26:00;131;506;26;1;47;ESTH
I073;F;2;11/09/2013;14:20:00;14:53:00;133;413;33;1;29;ESTH
I074;M;2;11/09/2013;14:30:00;15:13:00;133;433;43;1;43;ESTH
I075;F;2;11/09/2013;17:20:00;17:56:00;133;596;36;1;23;ESTH
I077;F;2;14/09/2013;12:20:00;13:16:00;136;316;56;1;31;ESTH
I078;F;2;14/09/2013;16:50:00;17:47:00;136;587;57;1;44;ESTH
I079;M;1;15/09/2013;13:10:00;13:54:00;137;354;44;1;30;ESTH
I081;M;2;16/09/2013;17:25:00;18:55:00;138;655;90;1;75;ESTH
I082;F;2;16/09/2013;17:25:00;18:41:00;138;641;76;1;54;ESTH
I083;M;2;16/09/2013;17:25:00;18:29:00;138;629;64;1;34;ESTH
I084;M;2;16/10/2013;10:40:00;11:15:00;168;195;35;1;35;ESTH
I085;M;2;16/09/2013;14:25:00;15:04:00;138;424;39;1;59;ESTH
I086;M;2;16/09/2013;14:25:00;15:22:00;138;442;57;1;31;ESTH
I087;F;2;16/09/2013;17:25:00;18:02:00;138;602;37;1;43;ESTH
I088;M;2;16/09/2013;17:25:00;18:18:00;138;618;53;1;2;ESTH
I089;M;2;18/09/2013;10:40:00;11:37:00;140;217;57;1;29;ESTH
I090;F;2;18/09/2013;10:40:00;11:56:00;140;236;76;1;37;ESTH
F033;M;3;19/06/2014;13:00:00;13:13:00;49;313;13;1;30;ESTH
H042;M;1;05/06/2014;12:20:00;13:30:00;35;330;70;3;57;ESTH
I016;M;2;06/06/2014;11:45:00;12:09:00;36;249;24;2;76;ESTH
I043;M;2;09/06/2014;11:45:00;12:04:00;39;244;19;2;33;ESTH
I066;F;2;23/06/2014;10:26:00;11:30:00;53;210;64;2;73;ESTH
I067;F;2;24/06/2014;10:10:00;11:13:00;54;193;63;2;54;ESTH
I075;F;2;04/06/2014;10:15:00;10:32:00;34;152;17;2;100;ESTH
I077;F;2;06/06/2014;11:45:00;12:39:00;36;279;54;2;49;ESTH
I082;F;2;01/07/2014;10:10:00;11:06:00;61;186;56;2;99;ESTH
I084;M;2;04/06/2014;11:45:00;11:58:00;34;238;13;2;131;ESTH
I085;M;2;16/06/2014;10:00:00;10:45:00;46;165;45;2;83;ESTH
I090;F;2;04/06/2014;11:45:00;12:13:00;34;253;28;2;18;ESTH
Inconnu;n/a;1;07/06/2014;10:15:00;11:31:00;37;211;76;1;42;ESTH
J001;F;3;18/06/2014;11:15:00;12:40:00;48;280;85;1;40;ESTH
J002;M;1;05/06/2014;12:20:00;13:53:00;35;353;93;1;51;ESTH
J004;F;1;07/06/2014;12:15:00;13:01:00;37;301;46;1;75;ESTH
J006;F;2;04/06/2014;13:45:00;14:25:00;34;385;40;1;85;ESTH
J007;F;1;03/06/2014;10:20:00;11:53:00;33;233;93;1;74;ESTH
J008;F;2;04/06/2014;13:45:00;14:07:00;34;367;22;1;88;ESTH
J009;F;1;03/06/2014;11:50:00;13:51:00;33;351;121;1;71;ESTH
J010;F;1;03/06/2014;10:20:00;11:33:00;33;213;73;1;91;ESTH
J011;M;1;08/06/2014;16:30:00;17:08:00;38;548;38;1;66;ESTH
J014;M;2;24/06/2014;12:10:00;13:23:00;54;323;73;1;39;ESTH
J015;M;2;01/07/2014;14:10:00;14:21:00;61;381;11;1;133;ESTH
J017;F;1;05/06/2014;14:20:00;15:25:00;35;445;65;1;96;ESTH
J018;M;1;15/06/2014;13:40:00;14:31:00;45;391;51;1;53;ESTH
J019;F;1;05/06/2014;10:20:00;10:46:00;35;166;26;1;94;ESTH
J020;M;1;03/06/2014;11:50:00;13:22:00;33;322;92;1;65;ESTH
J021;M;1;05/06/2014;10:20:00;11:18:00;35;198;58;1;58;ESTH
J022;F;1;11/06/2014;16:15:00;16:47:00;41;527;32;1;72;ESTH
J023;M;2;09/06/2014;10:15:00;10:38:00;39;158;23;1;68;ESTH
J026;F;1;05/06/2014;12:20:00;13:08:00;35;308;48;1;57;ESTH
J028;M;1;07/06/2014;14:15:00;14:55:00;37;415;40;1;39;ESTH
J030;M;1;03/06/2014;11:50:00;13:08:00;33;308;78;1;151;ESTH
J031;F;1;05/06/2014;10:20:00;11:01:00;35;181;41;1;103;ESTH
J032;M;2;16/06/2014;10:00:00;11:48:00;46;228;108;1;57;ESTH
J035;F;2;09/06/2014;11:45:00;12:56:00;39;296;71;1;88;ESTH
J036;M;2;04/06/2014;13:45:00;14:45:00;34;405;60;1;81;ESTH
J037;M;2;04/06/2014;11:45:00;12:39:00;34;279;54;1;70;ESTH
J038;F;2;04/06/2014;10:15:00;10:54:00;34;174;39;1;49;ESTH
J042;M;1;07/06/2014;16:15:00;17:33:00;37;573;78;1;16;ESTH
J043;F;1;05/06/2014;12:20:00;14:06:00;35;366;106;1;64;ESTH
J044;F;3;18/06/2014;14:15:00;16:03:00;48;483;108;1;15;ESTH
J047;F;1;07/06/2014;12:15:00;13:21:00;37;321;66;1;76;ESTH
J048;M;1;08/06/2014;10:15:00;11:53:00;38;233;98;1;52;ESTH
J050;M;2;06/06/2014;15:15:00;16:03:00;36;483;48;1;67;ESTH
J051;M;1;03/06/2014;10:20:00;10:45:00;33;165;25;1;21;ESTH
J052;M;1;03/06/2014;10:20:00;11:15:00;33;195;55;1;54;ESTH
J053;M;1;03/06/2014;10:20:00;12:48:00;33;288;148;1;54;ESTH
J054;F;1;07/06/2014;14:15:00;15:49:00;37;469;94;1;71;ESTH
J055;M;1;03/06/2014;14:30:00;15:14:00;33;434;44;1;44;ESTH
J056;F;1;03/06/2014;14:30:00;14:51:00;33;411;21;1;56;ESTH
J057;F;1;07/06/2014;10:15:00;10:33:00;37;153;18;1;10;ESTH
J058;M;2;04/06/2014;16:45:00;16:59:00;34;539;14;1;85;ESTH
J059;M;2;24/06/2014;10:10:00;11:40:00;54;220;90;1;70;ESTH
J060;F;1;05/06/2014;10:20:00;11:32:00;35;212;72;1;42;ESTH
J061;F;1;08/06/2014;12:50:00;14:08:00;38;368;78;1;80;ESTH
J063;F;1;05/06/2014;12:20:00;12:51:00;35;291;31;1;76;ESTH
J064;M;2;06/06/2014;10:15:00;10:38:00;36;158;23;1;87;ESTH
J065;F;2;06/06/2014;10:15:00;10:56:00;36;176;41;1;26;ESTH
J066;M;2;06/06/2014;11:45:00;12:24:00;36;264;39;1;94;ESTH
J067;F;2;23/06/2014;13:30:00;14:50:00;53;410;80;1;98;ESTH
J068;M;2;14/06/2014;12:30:00;13:03:00;44;303;33;1;33;ESTH
J069;F;2;06/06/2014;16:45:00;17:01:00;36;541;16;1;56;ESTH
J070;F;1;07/06/2014;10:15:00;10:55:00;37;175;40;1;62;ESTH
J071;F;1;07/06/2014;14:15:00;15:28:00;37;448;73;1;49;ESTH
J072;F;1;07/06/2014;16:15:00;16:22:00;37;502;7;1;33;ESTH
J073;M;1;07/06/2014;16:15:00;16:44:00;37;524;29;1;81;ESTH
J074;F;1;07/06/2014;16:15:00;17:15:00;37;555;60;1;54;ESTH
J075;M;1;07/06/2014;16:15:00;17:01:00;37;541;46;1;34;ESTH
J076;M;1;08/06/2014;10:15:00;10:38:00;38;158;23;1;52;ESTH
J077;F;1;08/06/2014;10:15:00;11:01:00;38;181;46;1;49;ESTH
J078;F;1;08/06/2014;10:15:00;11:16:00;38;196;61;1;48;ESTH
J079;M;1;08/06/2014;10:15:00;11:32:00;38;212;77;1;68;ESTH
J080;F;1;08/06/2014;10:15:00;13:02:00;38;302;167;1;19;ESTH
J081;M;1;08/06/2014;12:50:00;13:33:00;38;333;43;1;45;ESTH
J082;F;1;08/06/2014;12:50:00;13:47:00;38;347;57;1;73;ESTH
J083;F;1;08/06/2014;12:50:00;14:24:00;38;384;94;1;35;ESTH
J084;F;1;08/06/2014;14:50:00;15:15:00;38;435;25;1;46;ESTH
J085;M;1;08/06/2014;14:50:00;15:37:00;38;457;47;1;38;ESTH
J086;M;1;08/06/2014;16:30:00;17:22:00;38;562;52;1;125;ESTH
J087;M;1;08/06/2014;16:30:00;16:53:00;38;533;23;1;62;ESTH
J088;M;2;09/06/2014;11:45:00;11:46:00;39;226;1;1;73;ESTH
J089;M;2;09/06/2014;13:45:00;14:13:00;39;373;28;1;15;ESTH
J090;M;2;09/06/2014;13:45:00;14:46:00;39;406;61;1;80;ESTH
J091;F;2;09/06/2014;15:25:00;15:37:00;39;457;12;1;59;ESTH
J092;F;1;11/06/2014;10:15:00;10:51:00;41;171;36;1;68;ESTH
J093;M;1;11/06/2014;12:15:00;12:36:00;41;276;21;1;36;ESTH
J094;F;1;11/06/2014;12:15:00;12:52:00;41;292;37;1;88;ESTH
J095;M;2;14/06/2014;17:00:00;17:33:00;44;573;33;1;90;ESTH
J096;F;1;15/06/2014;13:40:00;14:13:00;45;373;33;1;76;ESTH
J097;F;1;15/06/2014;13:40:00;15:17:00;45;437;97;1;71;ESTH
J097;F;1;17/06/2014;10:10:00;10:27:00;47;147;17;2;63;ESTH
