PondID,Detect1,Detect2,Snowday1,Snowday2,Volume1,Volume2
1,0,0,52,72,0.25,0.375
2,0,0,52,72,0.25,0.75
3,1,0,52,72,0.75,0.75
4,0,0,52,72,0.75,0.75
5,0,0,59,73,0.75,0.75
6,0,0,58,73,0.5,0.75
7,0,0,58,72,0.75,0.75
8,0,0,52,72,0.75,0.75
9,0,0,52,72,0.75,0.38
10,0,0,58,73,0.75,0.75
11,0,0,58,72,0.38,0.5
12,0,0,58,73,0.75,0.38
13,1,0,51,69,0.75,0.75
14,0,0,51,70,0.75,0.75
15,0,0,51,70,0.75,0.75
16,0,0,50,69,0.75,0.5
17,0,0,51,70,0.75,0.75
18,0,0,50,69,0.75,0.75
19,0,1,49,68,0.75,0.75
20,0,0,51,70,0.75,0.375
21,1,1,51,70,0.75,0.75
22,0,0,50,69,0.75,0.75
23,0,NA,51,,0.75,
24,0,0,50,69,0.75,0.75
25,0,0,50,69,0.75,0.375
26,0,0,49,68,0.75,0.75
27,0,0,48,68,0.375,0.25
28,0,0,47,66,0.75,0.75
29,0,0,48,67,0.75,0.75
30,1,1,48,67,0.75,0.75
31,0,0,49,68,0.75,0.5
32,0,0,49,68,0.75,0.75
33,0,0,47,66,0.75,0.75
34,0,0,48,67,0.75,0.75
35,0,0,48,67,0.75,0.75
36,0,0,60,72,0.75,0.75
37,0,1,49,68,0.75,0.75
38,1,1,49,68,0.75,0.75
39,0,0,48,67,0.75,0.75
40,0,0,60,74,0.75,0.75
41,0,0,48,67,0.75,0.75
42,0,0,40,59,1.25,0.75
43,0,0,40,59,1,0.75
44,0,0,41,61,1.25,0.75
45,0,1,41,61,1.25,0.75
46,0,0,58,73,0.75,0.5
47,0,0,50,69,0.75,0.75
48,0,0,49,73,0.75,0.75
49,0,0,46,65,0.75,0.75
50,0,0,42,60,0.75,0.75
51,0,0,42,62,1,0.625
52,0,0,41,61,1.25,0.25
53,0,0,42,62,1,0.75
54,0,0,42,60,1,0.75
55,0,0,46,65,0.75,0.75
56,0,0,46,66,0.75,0.75
57,0,0,46,66,0.75,0.625
58,0,0,42,61,1,0.75
59,0,0,46,65,0.75,0.75
60,0,0,46,65,0.75,0.75
61,0,0,46,65,0.75,0.563
62,0,,61,,0.75,
63,0,0,42,61,1,0.5
64,0,0,41,59,1,0.75
65,0,,41,,0.625,
66,0,0,40,60,1.25,0.75
67,0,0,41,61,1.25,0.75
68,0,0,40,60,1.25,0.75
69,0,,40,,1,
70,0,0,43,62,0.5,0.75
71,0,0,44,63,0.375,0.75
72,0,0,43,62,0.25,0.75
73,0,0,43,63,0.75,0.75
74,0,0,43,62,1,0.5
75,0,0,44,63,0.75,0.75
76,0,0,44,65,0.75,0.75
77,0,0,44,63,0.75,0.75
78,0,0,44,65,0.75,0.5
79,0,0,47,67,0.31,0.38
80,0,0,44,63,0.125,0.313
81,0,0,43,62,1,0.75
82,0,0,43,62,1,0.75
83,0,0,43,63,1,0.75
84,0,0,44,63,0.75,0.75
85,0,0,47,66,0.75,0.375
86,0,,47,,0.375,
87,0,0,47,66,0.75,0.5
88,0,0,59,74,0.75,0.75
89,0,0,59,74,0.75,0.75
90,0,0,58,73,0.75,0.75
3,1,,24,,0.75,
6,1,,24,,0.75,
7,1,,24,,0.562,
9,0,,24,,0.75,
16,1,,20,,0.75,
18,1,,20,,0.75,
20,0,,20,,0.75,
24,0,,20,,0.75,
30,0,,22,,0.75,
38,1,,22,,0.75,
41,1,,22,,0.75,
47,0,,20,,0.75,
50,0,,21,,0.75,
51,0,,21,,0.75,
58,0,,21,,0.75,
63,0,,21,,0.625,
66,0,,23,,0.75,
67,0,,23,,0.562,
85,0,,23,,0.75,
86,0,,23,,0.75,
91,0,,21,,0.75,
94,1,,22,,0.75,
99,0,0,52,69,0.75,0.75
100,0,0,45,66,0.75,0.625
101,0,0,45,66,0.563,0.75
103,0,,38,,0.75,
104,0,0,39,60,0.75,0.438
105,0,0,39,60,0.437,0.75
107,0,0,51,67,0.375,0.75
108,0,0,39,60,0.75,0.563
109,0,0,45,66,0.25,0.625
110,0,,39,,0.75,
111,0,0,45,66,0.5,0.5
112,0,,51,,0.5,
113,1,0,38,59,0.75,0.75
114,1,0,36,58,0.75,0.75
115,0,0,36,58,0.75,0.75
116,0,,43,,0.563,
117,0,0,43,60,0.75,0.75
119,0,0,43,62,0.75,0.5
120,0,,36,,0.75,
121,0,,51,,0.75,
123,0,0,36,58,0.75,0.75
125,0,,43,,0.5,
127,0,0,45,66,0.5,0.75
128,1,0,51,67,0.75,0.75
130,0,,51,,0.75,
131,0,0,41,60,0.75,0.563
132,0,,39,,0.625,
134,0,0,47,66,0.438,0.75
135,0,0,47,66,0.75,0.75
136,0,,52,,0.75,
137,0,,45,,0.625,
138,0,0,47,67,0.75,0.75
139,0,0,47,65,0.5,0.75
140,0,0,47,69,0.25,0.75
141,0,0,32,57,0.75,0.75
143,0,0,41,61,0.75,0.75
144,0,0,41,61,0.438,0.75
146,0,,41,,0.5,
147,0,0,33,57,0.75,0.75
148,0,,32,,0.75,
149,1,0,44,65,0.75,0.75
150,0,0,44,65,0.75,0.75
151,0,0,44,65,0.75,0.5
152,0,0,37,58,0.75,0.438
153,1,,38,,0.75,
154,0,,37,,0.75,
156,1,0,38,58,0.75,0.75
158,0,0,32,57,0.75,0.5
159,1,1,37,57,0.5,0.75
160,1,1,37,58,0.75,0.75
161,1,1,37,57,0.75,0.5
162,1,1,33,57,0.25,0.75
163,0,0,38,59,0.25,0.625
166,0,0,52,68,0.563,0.75
167,1,1,36,58,0.75,0.75
168,0,0,31,54,0.75,0.75
170,0,0,44,62,0.563,0.5
171,0,0,41,62,0.75,0.75
172,1,0,38,59,0.312,0.375
173,,1,,54,,0.625
174,0,0,31,54,0.75,0.75
175,0,0,47,67,0.75,0.75
177,0,0,31,54,0.75,0.75
178,0,0,31,57,0.75,0.5
180,0,,46,,0.75,
181,0,,43,,0.375,
182,0,0,31,54,0.75,0.75
184,0,0,52,68,0.625,0.5
185,0,,38,,0.75,
187,1,,30,,0.75,
188,1,1,46,62,0.75,0.5
189,1,,40,,0.75,
190,0,,30,,0.531,
193,0,0,40,61,0.313,0.75
194,1,,40,,0.75,
195,0,1,46,62,0.375,0.75
196,0,0,52,68,0.5,0.5
197,0,0,30,53,0.75,0.75
198,1,,30,,0.75,
199,0,0,46,65,0.625,0.375
201,0,0,53,68,0.75,0.75
202,0,0,53,68,0.75,0.75
203,0,0,40,61,0.75,0.75
204,1,,40,,0.75,
205,1,,33,,0.75,
206,0,0,46,65,0.563,0.75
207,0,0,53,68,0.75,0.5
208,0,0,53,68,0.5,0.75
